"Order Number","Line Item","Order Date","Delivery Date",CustomerKey,StoreKey,ProductKey,Quantity,"Currency Code"
1462001,1,1/1/2019,,777391,29,358,5,EUR
1462002,1,1/1/2019,,1861363,44,231,1,USD
1462002,2,1/1/2019,,1861363,44,56,3,USD
1462003,1,1/1/2019,1/6/2019,1324262,0,1579,7,USD
1462003,2,1/1/2019,1/6/2019,1324262,0,2509,4,USD
1462004,1,1/1/2019,1/2/2019,816932,0,1583,1,EUR
1462004,2,1/1/2019,1/2/2019,816932,0,1799,4,EUR
1462004,3,1/1/2019,1/2/2019,816932,0,2369,1,EUR
1462004,4,1/1/2019,1/2/2019,816932,0,55,5,EUR
1462004,5,1/1/2019,1/2/2019,816932,0,1107,2,EUR
1462005,1,1/1/2019,1/7/2019,1796733,0,1959,1,USD
1462005,2,1/1/2019,1/7/2019,1796733,0,418,4,USD
1462006,1,1/1/2019,,1981433,45,2129,1,USD
1462007,1,1/1/2019,,190944,5,459,7,AUD
1462007,2,1/1/2019,,190944,5,2494,4,AUD
1462007,3,1/1/2019,,190944,5,78,3,AUD
1462008,1,1/1/2019,,1592335,64,434,1,USD
1462011,1,1/1/2019,1/5/2019,1535347,0,1713,1,USD
1462011,2,1/1/2019,1/5/2019,1535347,0,1517,5,USD
1462013,1,1/1/2019,1/5/2019,267691,0,107,5,CAD
1462014,1,1/1/2019,,756504,29,158,2,EUR
1462015,1,1/1/2019,,524021,22,2499,3,EUR
1462016,1,1/1/2019,,1981968,50,1671,2,USD
1462017,1,1/1/2019,,536368,24,58,1,EUR
1462017,2,1/1/2019,,536368,24,1897,1,EUR
1462017,3,1/1/2019,,536368,24,46,6,EUR
1462017,4,1/1/2019,,536368,24,1511,2,EUR
1462018,1,1/1/2019,,1810547,59,397,3,USD
1462019,1,1/1/2019,1/7/2019,4174,0,434,7,AUD
1462019,2,1/1/2019,1/7/2019,4174,0,1772,2,AUD
1462019,3,1/1/2019,1/7/2019,4174,0,82,1,AUD
1462020,1,1/1/2019,,973370,37,422,1,GBP
1462020,2,1/1/2019,,973370,37,757,7,GBP
1462021,1,1/1/2019,,1460974,57,1504,1,USD
1462021,2,1/1/2019,,1460974,57,1157,3,USD
1462021,3,1/1/2019,,1460974,57,1070,1,USD
1462021,4,1/1/2019,,1460974,57,1701,1,USD
1462022,1,1/1/2019,,302645,9,1074,2,CAD
1462022,2,1/1/2019,,302645,9,856,2,CAD
1462024,1,1/1/2019,,1297782,59,1027,1,USD
1462025,1,1/1/2019,,1327821,62,433,4,USD
1462026,1,1/1/2019,,1316702,62,1647,1,USD
1462026,2,1/1/2019,,1316702,62,172,1,USD
1462026,3,1/1/2019,,1316702,62,2102,1,USD
1462027,1,1/1/2019,1/5/2019,1414205,0,11,2,USD
1462028,1,1/1/2019,,1498031,64,1719,2,USD
1462029,1,1/1/2019,1/4/2019,526851,0,1683,6,EUR
1462029,2,1/1/2019,1/4/2019,526851,0,1750,7,EUR
1462029,3,1/1/2019,1/4/2019,526851,0,1597,1,EUR
1462029,4,1/1/2019,1/4/2019,526851,0,628,3,EUR
1462031,1,1/1/2019,,784331,29,606,1,EUR
1462032,1,1/1/2019,,322558,10,1332,1,CAD
1462032,2,1/1/2019,,322558,10,1704,7,CAD
1462032,3,1/1/2019,,322558,10,93,1,CAD
1462032,4,1/1/2019,,322558,10,1428,2,CAD
1462032,5,1/1/2019,,322558,10,435,1,CAD
1462032,6,1/1/2019,,322558,10,1704,1,CAD
1462032,7,1/1/2019,,322558,10,458,1,CAD
1462033,1,1/1/2019,1/5/2019,1633913,0,1399,3,USD
1462034,1,1/1/2019,,1495716,54,1242,2,USD
1462034,2,1/1/2019,,1495716,54,101,1,USD
1462034,3,1/1/2019,,1495716,54,1644,2,USD
1462036,1,1/1/2019,,1531046,47,1645,9,USD
1462036,2,1/1/2019,,1531046,47,86,2,USD
1462036,3,1/1/2019,,1531046,47,189,3,USD
1462037,1,1/1/2019,,1186120,40,1424,5,GBP
1462037,2,1/1/2019,,1186120,40,1548,2,GBP
1462037,3,1/1/2019,,1186120,40,1065,1,GBP
1462038,1,1/1/2019,,1410548,59,2509,2,USD
1462038,2,1/1/2019,,1410548,59,1560,7,USD
1462038,3,1/1/2019,,1410548,59,654,1,USD
1462038,4,1/1/2019,,1410548,59,147,3,USD
1462041,1,1/1/2019,,921229,37,1191,7,GBP
1462042,1,1/1/2019,,938615,37,1578,1,GBP
1462042,2,1/1/2019,,938615,37,428,2,GBP
1462043,1,1/1/2019,,802757,31,177,2,EUR
1462043,2,1/1/2019,,802757,31,1638,1,EUR
1462043,3,1/1/2019,,802757,31,1661,5,EUR
1462043,4,1/1/2019,,802757,31,1448,7,EUR
1462043,5,1/1/2019,,802757,31,1310,7,EUR
1462044,1,1/1/2019,,1022320,42,677,6,GBP
1462045,1,1/1/2019,,1951406,49,1267,8,USD
1462046,1,1/1/2019,,341191,10,1755,2,CAD
1462046,2,1/1/2019,,341191,10,1609,3,CAD
1462047,1,1/1/2019,,1720405,48,440,4,USD
1462048,1,1/1/2019,,1499604,57,416,1,USD
1462048,2,1/1/2019,,1499604,57,1458,7,USD
1462048,3,1/1/2019,,1499604,57,470,4,USD
1462048,4,1/1/2019,,1499604,57,541,8,USD
1462048,5,1/1/2019,,1499604,57,422,4,USD
1462048,6,1/1/2019,,1499604,57,564,5,USD
1462048,7,1/1/2019,,1499604,57,192,1,USD
1462049,1,1/1/2019,1/6/2019,791825,0,1468,1,EUR
1462049,2,1/1/2019,1/6/2019,791825,0,1442,1,EUR
1462049,3,1/1/2019,1/6/2019,791825,0,52,2,EUR
1462049,4,1/1/2019,1/6/2019,791825,0,2,1,EUR
1462050,1,1/1/2019,,1318857,65,1711,5,USD
1462050,2,1/1/2019,,1318857,65,1485,1,USD
1462050,3,1/1/2019,,1318857,65,1638,3,USD
1462051,1,1/1/2019,1/7/2019,272295,0,1665,4,CAD
1462053,1,1/1/2019,,1703884,44,1684,7,USD
1463000,1,1/2/2019,,436081,23,1268,2,EUR
1463001,1,1/2/2019,,1914533,62,2106,2,USD
1463001,2,1/2/2019,,1914533,62,2492,5,USD
1463002,1,1/2/2019,,487107,22,1724,5,EUR
1463003,1,1/2/2019,,514015,24,1373,1,EUR
1463003,2,1/2/2019,,514015,24,1604,2,EUR
1463003,3,1/2/2019,,514015,24,433,4,EUR
1463004,1,1/2/2019,,1840260,62,1264,1,USD
1463005,1,1/2/2019,,347394,9,345,1,CAD
1463005,2,1/2/2019,,347394,9,499,2,CAD
1463005,3,1/2/2019,,347394,9,1728,2,CAD
1463007,1,1/2/2019,1/5/2019,702544,0,426,3,EUR
1463009,1,1/2/2019,,770560,29,1655,5,EUR
1463010,1,1/2/2019,1/9/2019,930705,0,1610,2,GBP
1463010,2,1/2/2019,1/9/2019,930705,0,1758,3,GBP
1463010,3,1/2/2019,1/9/2019,930705,0,283,2,GBP
1463010,4,1/2/2019,1/9/2019,930705,0,1581,2,GBP
1463010,5,1/2/2019,1/9/2019,930705,0,1758,4,GBP
1463010,6,1/2/2019,1/9/2019,930705,0,2103,3,GBP
1463011,1,1/2/2019,,1353843,51,2103,9,USD
1463011,2,1/2/2019,,1353843,51,1436,3,USD
1463012,1,1/2/2019,,1372748,64,435,1,USD
1463012,2,1/2/2019,,1372748,64,1252,5,USD
1463013,1,1/2/2019,,478557,22,1440,1,EUR
1463013,2,1/2/2019,,478557,22,1691,1,EUR
1463013,3,1/2/2019,,478557,22,73,1,EUR
1463014,1,1/2/2019,,857753,34,1695,3,EUR
1463015,1,1/2/2019,,212881,8,463,1,CAD
1463016,1,1/2/2019,,2022412,66,1654,3,USD
1463016,2,1/2/2019,,2022412,66,2514,1,USD
1463016,3,1/2/2019,,2022412,66,1549,1,USD
1463016,4,1/2/2019,,2022412,66,56,3,USD
1463017,1,1/2/2019,1/6/2019,1756123,0,649,1,USD
1463017,2,1/2/2019,1/6/2019,1756123,0,1444,3,USD
1463018,1,1/2/2019,,516226,22,109,3,EUR
1463020,1,1/2/2019,,1021118,40,1618,7,GBP
1463020,2,1/2/2019,,1021118,40,1607,2,GBP
1463020,3,1/2/2019,,1021118,40,55,7,GBP
1463021,1,1/2/2019,,1951766,57,1553,1,USD
1463021,2,1/2/2019,,1951766,57,727,2,USD
1463022,1,1/2/2019,1/7/2019,1358736,0,153,1,USD
1463022,2,1/2/2019,1/7/2019,1358736,0,1622,2,USD
1463023,1,1/2/2019,,1892265,61,7,4,USD
1463023,3,1/2/2019,,1892265,61,1687,6,USD
1463023,4,1/2/2019,,1892265,61,440,1,USD
1463023,5,1/2/2019,,1892265,61,2507,6,USD
1463023,6,1/2/2019,,1892265,61,432,1,USD
1463024,1,1/2/2019,,1390363,54,2039,9,USD
1463024,2,1/2/2019,,1390363,54,1427,4,USD
1463024,3,1/2/2019,,1390363,54,591,7,USD
1463025,1,1/2/2019,1/5/2019,516858,0,426,1,EUR
1463025,2,1/2/2019,1/5/2019,516858,0,1825,2,EUR
1463026,1,1/2/2019,1/3/2019,507938,0,133,1,EUR
1463027,1,1/2/2019,,1364466,51,1591,4,USD
1463029,1,1/2/2019,1/5/2019,2025509,0,2090,1,USD
1463029,2,1/2/2019,1/5/2019,2025509,0,1967,2,USD
1463030,1,1/2/2019,,1410180,43,1522,1,USD
1463030,2,1/2/2019,,1410180,43,1740,1,USD
1463030,3,1/2/2019,,1410180,43,1452,5,USD
1463030,4,1/2/2019,,1410180,43,2500,6,USD
1463030,5,1/2/2019,,1410180,43,1438,3,USD
1463030,6,1/2/2019,,1410180,43,1639,4,USD
1463031,1,1/2/2019,,1311030,66,724,4,USD
1463031,2,1/2/2019,,1311030,66,1438,2,USD
1463031,3,1/2/2019,,1311030,66,76,2,USD
1463033,1,1/2/2019,,445826,19,497,3,EUR
1463033,2,1/2/2019,,445826,19,521,2,EUR
1463034,1,1/2/2019,,1484484,51,455,4,USD
1463034,2,1/2/2019,,1484484,51,1518,1,USD
1463034,3,1/2/2019,,1484484,51,418,5,USD
1463035,1,1/2/2019,,1318608,48,79,1,USD
1463036,1,1/2/2019,1/7/2019,1259204,0,176,1,USD
1463036,2,1/2/2019,1/7/2019,1259204,0,1588,2,USD
1463036,3,1/2/2019,1/7/2019,1259204,0,135,1,USD
1463036,4,1/2/2019,1/7/2019,1259204,0,121,4,USD
1463036,5,1/2/2019,1/7/2019,1259204,0,1609,3,USD
1463036,6,1/2/2019,1/7/2019,1259204,0,1252,8,USD
1463037,1,1/2/2019,,1333939,61,2501,3,USD
1463037,2,1/2/2019,,1333939,61,1614,3,USD
1463037,3,1/2/2019,,1333939,61,1500,3,USD
1463038,1,1/2/2019,,1549048,55,413,3,USD
1463038,2,1/2/2019,,1549048,55,458,1,USD
1463038,3,1/2/2019,,1549048,55,63,1,USD
1463038,4,1/2/2019,,1549048,55,1603,1,USD
1463038,5,1/2/2019,,1549048,55,331,6,USD
1463038,6,1/2/2019,,1549048,55,416,1,USD
1463039,1,1/2/2019,,328534,10,1433,3,CAD
1463039,2,1/2/2019,,328534,10,1812,2,CAD
1463040,1,1/2/2019,,982645,36,1611,1,GBP
1463040,2,1/2/2019,,982645,36,1702,1,GBP
1463041,1,1/2/2019,,504968,19,961,1,EUR
1463041,2,1/2/2019,,504968,19,1611,2,EUR
1463041,3,1/2/2019,,504968,19,1122,4,EUR
1463042,1,1/2/2019,,1780196,57,1609,1,USD
1463042,2,1/2/2019,,1780196,57,512,2,USD
